punteggio,prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
458,10.17,+0.5,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,17 su- 1,Caprino Veronese,2013-09-28,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
454,10.13,,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,2 se- 1,Belluno,2013-05-11,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
452,10.11,,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,7 su- 1,Treviso,2012-05-30,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
446,10.05,,PETITTO Leonardo,2008,CM,ANA ATL.FELTRE,3 su- 1,Mel,2022-06-22,https://www.fidal.it/atleta/PETITTO-Leonardo/eKmRlJijbmQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
445,10.04,,SIRAGNA Lorenzo,2001,CM,ANA ATL.FELTRE,3 se- 1,Belluno,2016-05-07,https://www.fidal.it/atleta/SIRAGNA-Lorenzo/eKmRlJahbmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
435,9.94,+0.0,BALDISSERI Pietro,2008,CM,ANA ATL.FELTRE,22 su- 1,Venezia,2022-09-17,https://www.fidal.it/atleta/BALDISSERI-Pietro/eKmRlJeocGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
420,9.79,,COLLE Nicola,1996,CM,ANA ATL.FELTRE,21 su- 1,Rovigo,2010-06-06,https://www.fidal.it/atleta/COLLE-Nicola/eKmRlJSla2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
413,9.72,,GRIS Matteo,2002,CM,ANA ATL.FELTRE,4 se- 1,Agordo,2017-09-30,https://www.fidal.it/atleta/GRIS-Matteo/eKmRlJWibGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
410,9.69,,PIZZOLOTTO Edoardo,1996,CM,ANA ATL.FELTRE,16 se- 1,Padova,2011-05-18,https://www.fidal.it/atleta/PIZZOLOTTO-Edoardo/eKmRlJOnb2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
408,9.67,,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,1 se- 1,Belluno,2013-05-03,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
408,9.67,,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,17 se- 1,Bassano Del Grappa,2013-06-01,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
404,9.63,-0.4,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,22 su- 1,Marostica,2012-09-22,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
403,9.62,,ANDREOLI Antonio,2008,CM,ANA ATL.FELTRE,4 su- 1,Mel,2022-06-22,https://www.fidal.it/atleta/ANDREOLI-Antonio/eKmRlJmmbmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
396,9.55,,BELLUS Riccardo,2008,CM,ANA ATL.FELTRE,1 su- 1,Agordo,2022-05-22,https://www.fidal.it/atleta/BELLUS-Riccardo/eKmRlJekamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
395,9.54,,CAPRETTA Francesco,2002,CM,ANA ATL.FELTRE,4 se- 1,Belluno,2016-05-07,https://www.fidal.it/atleta/CAPRETTA-Francesco/eKmRlJagcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
345,9.04,,SCOPEL Nicola,2008,CM,ANA ATL.FELTRE,5 su- 1,Borgo Valbelluna,2023-04-15,https://www.fidal.it/atleta/SCOPEL-Nicola/eKmRlJeocGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
330,8.89,,ANDREOLI Antonio,2008,CM,ANA ATL.FELTRE,1 su- 1,Alpago,2022-04-09,https://www.fidal.it/atleta/ANDREOLI-Antonio/eKmRlJmmbmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
221,7.78,,FERTONANI Nicolo',2002,CM,ANA ATL.FELTRE,6 se- 1,Belluno,2016-05-07,https://www.fidal.it/atleta/FERTONANI-Nicolo-/eKmRlJefaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
193,7.5,,MENEGAZZO Giorgio,2009,CM,ANA ATL.FELTRE,6 su- 1,Borgo Valbelluna,2023-04-15,https://www.fidal.it/atleta/MENEGAZZO-Giorgio/eKmRlJeocGQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
